term,doc_feq,posting_list
17.6,1,{76: []}
170,1,{72: []}
1712,1,{46: []}
1750,1,{1: []}
1780,1,{1: []}
18,6,"{47: [], 50: [], 59: [], 96: [], 97: [], 98: []}"
18.60,1,{50: []}
18000,1,{54: []}
1800000,1,{79: []}
1850,1,{1: []}
186.4,1,{88: []}
1870,1,{1: []}
1875,1,{1: []}
18750000,1,{32: []}
1880,1,{1: []}
19,3,"{8: [], 16: [], 39: []}"
19.4,1,{9: []}
19.6,1,{4: []}
191000,2,"{15: [], 21: []}"
1912,1,{44: []}
1924,1,{92: []}
195000,1,{56: []}
195202,1,{8: []}
1975,1,{59: []}
1980,1,{89: []}
1983,1,{79: []}
1983.,2,"{58: [], 79: []}"
1984,1,{35: []}
1984.,1,{35: []}
1985,11,"{10: [], 13: [], 16: [], 22: [], 24: [], 25: [], 35: [], 47: [], 76: [], 81: [], 89: []}"
1985.,5,"{13: [], 24: [], 59: [], 76: [], 89: []}"
1985s,1,{22: []}
1986,20,"{9: [], 13: [], 14: [], 22: [], 25: [], 29: [], 35: [], 41: [], 47: [], 50: [], 68: [], 69: [], 71: [], 76: [], 86: [], 87: [], 88: [], 89: [], 92: [], 94: []}"
1986.,5,"{3: [], 43: [], 64: [], 72: [], 78: []}"
198687,2,"{1: [], 82: []}"
1987,3,"{13: [], 79: [], 88: []}"
198788,4,"{1: [], 11: [], 59: [], 82: []}"
198788.,1,{84: []}
1990,1,{93: []}
1990s,1,{72: []}
1ST,3,"{5: [], 71: [], 92: []}"
1st,1,{92: []}
2.1,2,"{9: [], 71: []}"
2.2,1,{17: []}
2.27,1,{1: []}
2.28,2,"{1: [], 68: []}"
2.4,2,"{17: [], 84: []}"
2.5,1,{21: []}
2.51,1,{9: []}
2.6,1,{3: []}
2.7,1,{89: []}
2.84,1,{9: []}
20,5,"{9: [], 40: [], 44: [], 71: [], 74: []}"
20.58,1,{9: []}
200,3,"{24: [], 31: [], 77: []}"
2000,2,"{24: [], 56: []}"
200000,2,"{2: [], 81: []}"
201129,1,{35: []}
202.8,1,{88: []}
202097,1,{61: []}
2023,1,{43: []}
20480000,1,{68: []}
2056000,1,{52: []}
21,1,{56: []}
21.09,1,{9: []}
21.7,1,{88: []}
211000,2,"{17: [], 56: []}"
214,1,{50: []}
218000,1,{52: []}
22,3,"{1: [], 26: [], 46: []}"
220.9,1,{88: []}
222,2,"{96: [], 98: []}"
223.9,1,{88: []}
23085,1,{89: []}
232000,1,{52: []}
2325,1,{1: []}
234745,1,{30: []}
2375,1,{1: []}
2380,1,{1: []}
24,2,"{31: [], 86: []}"
24.8,1,{41: []}
2400,1,{1: []}
243.6,1,{76: []}
2463214,1,{66: []}
2465996,1,{15: []}
249814,1,{94: []}
24year,1,{38: []}
25,4,"{4: [], 14: [], 24: [], 99: []}"
25.1,1,{88: []}
25.2,1,{9: []}
25.4,1,{68: []}
2500,1,{95: []}
2509832,1,{66: []}
2542000,1,{52: []}
2562160,1,{64: []}
2564000,1,{77: []}
257.5,1,{76: []}
2577000,1,{56: []}
26,3,"{62: [], 70: [], 81: []}"
26.3,1,{3: []}
261791,1,{61: []}
26195,1,{94: []}
2623000,1,{56: []}
266000,1,{74: []}
267.7,1,{24: []}
2695206,1,{64: []}
26FEB1987,1,{67: []}
26MAR1987,1,{90: []}
27,1,{80: []}
27.,1,{1: []}
27.2,1,{87: []}
271000,1,{17: []}
278000,1,{56: []}
28,10,"{1: [], 13: [], 15: [], 19: [], 21: [], 61: [], 66: [], 76: [], 88: [], 92: []}"
28.6,1,{81: []}
28.9,1,{88: []}
284945,1,{8: []}
29,3,"{60: [], 64: [], 77: []}"
292000,1,{56: []}
2FOR1,1,{28: []}
3.1,1,{21: []}
3.49,1,{52: []}
3.6,1,{21: []}
3.66,1,{88: []}
30,8,"{20: [], 30: [], 34: [], 53: [], 57: [], 59: [], 60: [], 76: []}"
30.,1,{78: []}
30.6,2,"{3: [], 66: []}"
304000,1,{56: []}
305082,1,{94: []}
30732,1,{57: []}
308,1,{50: []}
3086386,1,{15: []}
31,11,"{18: [], 39: [], 61: [], 62: [], 69: [], 76: [], 77: [], 79: [], 92: [], 93: [], 94: []}"
31.,1,{39: []}
31.7,1,{50: []}
312.4,1,{24: []}
315,1,{49: []}
3175,1,{8: []}
32,1,{60: []}
32.6,1,{24: []}
32.7,1,{41: []}
32.9,1,{5: []}
3200000,1,{79: []}
3237235,1,{30: []}
3282478,1,{25: []}
33,1,{47: []}
33.1,1,{64: []}
33.96,1,{9: []}
330,1,{11: []}
333.8,1,{19: []}
339.04,1,{98: []}
34.4,1,{66: []}
34.5,1,{3: []}
34.9,1,{66: []}
340,1,{1: []}
3434.,1,{50: []}
345,1,{50: []}
3464269,1,{61: []}
35,3,"{1: [], 97: [], 98: []}"
350,1,{1: []}
3500000,1,{79: []}
37,1,{81: []}
37.5,1,{93: []}
3717,1,{89: []}
3722,1,{89: []}
3734.,1,{50: []}
3772000,1,{16: []}
3895267,1,{30: []}
39.9,1,{32: []}
390,1,{98: []}
391000,1,{16: []}
396,1,{84: []}
398.4,1,{19: []}
3RD,4,"{15: [], 18: [], 21: [], 61: []}"
4.0,2,"{9: [], 59: []}"
4.05,1,{88: []}
4.1,1,{9: []}
4.41,1,{52: []}
40,5,"{2: [], 15: [], 21: [], 24: [], 47: []}"
40.1,1,{64: []}
400,1,{31: []}
40000,1,{68: []}
4067000,1,{76: []}
4083833,1,{61: []}
42.75,1,{4: []}
42.9,1,{8: []}
423064,1,{89: []}
425000,1,{56: []}
4340,1,{1: []}
4345,1,{1: []}
434682,1,{89: []}
4350,1,{1: []}
4351,1,{1: []}
437,1,{49: []}
4384000,1,{52: []}
44,1,{80: []}
4400,1,{1: []}
4415,1,{1: []}
4450,1,{1: []}
4479000,1,{41: []}
4480,1,{1: []}
45,5,"{1: [], 47: [], 50: [], 80: [], 92: []}"
450,1,{49: []}
450000,1,{81: []}
453924,1,{64: []}
459000,1,{52: []}
46,1,{88: []}
46000,1,{20: []}
460000,1,{52: []}
461,1,{49: []}
47,1,{76: []}
47.4,1,{66: []}
47.5,1,{8: []}
48.09,1,{9: []}
49,2,"{72: [], 88: []}"
4904000,1,{52: []}
496000,1,{64: []}
4TH,9,"{16: [], 17: [], 19: [], 25: [], 52: [], 56: [], 64: [], 76: [], 81: []}"
4th,3,"{30: [], 52: [], 74: []}"
5,3,"{44: [], 46: [], 87: []}"
5.1,1,{47: []}
5.2,1,{9: []}
5.25,1,{9: []}
5.7,1,{93: []}
5.81,1,{1: []}
5.93,1,{1: []}
50,3,"{47: [], 50: [], 64: []}"
500,1,{95: []}
50000,1,{2: []}
500000,1,{85: []}
51,1,{13: []}
51187000,1,{41: []}
52,1,{16: []}
5216000,1,{76: []}
527065,1,{25: []}
53412000,1,{41: []}
54,1,{76: []}
54.9,1,{87: []}
5429000,1,{76: []}
55,1,{47: []}
5524000,1,{13: []}
5545000,1,{16: []}
56,3,"{8: [], 47: [], 61: []}"
561029,2,"{61: [], 62: []}"
5686000,1,{19: []}
57,2,"{19: [], 88: []}"
571000,1,{64: []}
576000,1,{68: []}
58.6,1,{24: []}
580000,1,{16: []}
580955,1,{94: []}
5878,1,{50: []}
5896000,2,"{15: [], 21: []}"
59000,1,{13: []}
5958.,1,{50: []}
6.13,1,{1: []}
6.2,1,{1: []}
6.3,1,{89: []}
6.4,1,{1: []}
60,3,"{1: [], 32: [], 47: []}"
60000,1,{82: []}
6036000,1,{74: []}
6068254,1,{25: []}
60kg,1,{69: []}
613205,1,{25: []}
614,1,{50: []}
622470,1,{25: []}
63,1,{66: []}
630,1,{91: []}
63000,1,{56: []}
632.5,1,{77: []}
64,1,{66: []}
64.05,1,{98: []}
64.74,1,{98: []}
65,2,"{29: [], 42: []}"
6561000,2,"{15: [], 21: []}"
66,1,{76: []}
67,1,{31: []}
68,1,{75: []}
7.,1,{80: []}
7.1,1,{14: []}
7.18,1,{73: []}
7.2,1,{47: []}
7.4,2,"{47: [], 50: []}"
7.53,1,{22: []}
7.60,1,{22: []}
7.73,1,{9: []}
7.75,1,{4: []}
70,4,"{37: [], 47: [], 50: [], 72: []}"
7118.,1,{50: []}
716000,1,{56: []}
72.1,1,{59: []}
7214.,1,{50: []}
726816,1,{64: []}
729000,1,{68: []}
7291000,1,{81: []}
73,1,{30: []}
7382,1,{43: []}
74,2,"{31: [], 59: []}"
74.5,1,{19: []}
747.9,1,{76: []}
75,3,"{2: [], 4: [], 13: []}"
753,1,{1: []}
7579547,1,{25: []}
77,1,{81: []}
785,1,{1: []}
785000,1,{13: []}
8.,1,{77: []}
8.2,1,{17: []}
80,1,{24: []}
801000,1,{81: []}
805754,1,{89: []}
8094000,1,{13: []}
8168000,1,{19: []}
82,1,{19: []}
8250222,1,{30: []}
83,1,{100: []}
83.2,1,{19: []}
8334.,1,{50: []}
84.09,1,{22: []}
857006,1,{8: []}
86.19,1,{22: []}
8600000,1,{79: []}
861000,1,{74: []}
8637000,1,{56: []}
8687,1,{82: []}
871000,2,"{15: [], 21: []}"
8812.,1,{50: []}
8864000,1,{52: []}
8894000,2,"{15: [], 21: []}"
89,2,"{24: [], 87: []}"
894362,1,{89: []}
9.3,1,{89: []}
9.4,1,{3: []}
90000,2,"{73: [], 82: []}"
900000,1,{39: []}
91.09,1,{9: []}
91.7,1,{24: []}
910000,1,{82: []}
92,1,{24: []}
9237296,1,{35: []}
9310000,2,"{15: [], 21: []}"
9438425,1,{35: []}
957000,1,{92: []}
989.5,1,{76: []}
990000,2,"{15: [], 21: []}"
99209,1,{61: []}
995,1,{1: []}
A,3,"{4: [], 11: [], 43: []}"
AB,1,{22: []}
ABSORBING,1,{91: []}
ACCEPTANCE,1,{68: []}
ACQUIRES,1,{33: []}
ACQUISITION,1,{70: []}
ADDITIONAL,1,{62: []}
ADVANCED,1,{30: []}
ADVENTURE,1,{100: []}
AGAIN,1,{4: []}
AGAINST,1,{11: []}
AID,1,{27: []}
ALLIED,1,{66: []}
AMERICAN,5,"{15: [], 21: [], 36: [], 71: [], 100: []}"
AMERICANTURE,1,{100: []}
AMUSEMENTS,1,{4: []}
AND,4,"{10: [], 46: [], 64: [], 70: []}"
APPROPRIATE,2,"{45: [], 51: []}"
APPROVE,1,{65: []}
APPROVED,2,"{6: [], 55: []}"
ASSOCIATES,1,{66: []}
AT,1,{69: []}
Accord,1,{59: []}
Act,1,{7: []}
Adventure,1,{100: []}
Adventure.,1,{100: []}
After,2,"{50: [], 77: []}"
Again,1,{1: []}
Agricoles.,1,{84: []}
Agricultural,1,{84: []}
Agriculture,1,{82: []}
Alameda,1,{33: []}
Alaskan,1,{50: []}
Although,1,{22: []}
Amerada,1,{50: []}
American,6,"{15: [], 21: [], 27: [], 35: [], 71: [], 100: []}"
Americanture,1,{100: []}
Americas,1,{27: []}
Amoco,1,{50: []}
Amounts,1,{84: []}
Amusements,1,{4: []}
Analysts,2,"{27: [], 50: []}"
Another,1,{47: []}
Anthony,1,{10: []}
Antiinflation,1,{59: []}
April,13,"{31: [], 32: [], 34: [], 40: [], 42: [], 50: [], 53: [], 60: [], 69: [], 75: [], 77: [], 78: [], 80: []}"
April.,1,{54: []}
AprilMay,1,{1: []}
AprilMayJuly,1,{73: []}
Arabia,1,{47: []}
Argentina,1,{1: []}
Arrivals,1,{1: []}
Arsenal,1,{4: []}
Asia,1,{24: []}
Asked,1,{59: []}
Association,2,"{27: [], 72: []}"
At,1,{31: []}
Aug,1,{1: []}
AugSept,1,{1: []}
August,1,{16: []}
Aurora,1,{55: []}
Australian,2,"{50: [], 72: []}"
Avg,5,"{15: [], 21: [], 64: [], 68: [], 76: []}"
B,1,{40: []}
BAHIA,1,{1: []}
BANCORP,1,{55: []}
BANK,5,"{3: [], 14: [], 34: [], 53: [], 99: []}"
BANKING,1,{27: []}
BATTERY,2,"{12: [], 29: []}"
BE,1,{11: []}
BEST,1,{79: []}
BID,2,"{4: [], 47: []}"
BILLION,1,{48: []}
BORROWINGS,1,{99: []}
BP,4,"{37: [], 47: [], 50: [], 72: []}"
BPltBP,1,{50: []}
BPs,2,"{47: [], 50: []}"
BRANDS,2,"{36: [], 71: []}"
BRITISH,2,"{26: [], 72: []}"
BROAD,1,{27: []}
BUFFER,1,{83: []}
BURGER,1,{43: []}
BUSINESS,2,"{96: [], 98: []}"
BUY,1,{14: []}
BUYOUT,1,{86: []}
BUYS,2,"{85: [], 100: []}"
BY,1,{28: []}
Backlog,1,{66: []}
Bahia,1,{1: []}
Ball,1,{50: []}
Balladur,1,{26: []}
Bancorp,1,{55: []}
Bancshares,2,"{14: [], 70: []}"
Bank,10,"{3: [], 27: [], 49: [], 53: [], 55: [], 58: [], 59: [], 70: [], 85: [], 98: []}"
Banking,1,{7: []}
Banks,2,"{49: [], 62: []}"
Base,1,{59: []}
Battery,1,{29: []}
Bay,1,{50: []}
Bean,1,{1: []}
Beaumont,1,{20: []}
Behind,1,{50: []}
Bernard,1,{62: []}
Board,3,"{27: [], 51: [], 55: []}"
Bra,1,{83: []}
Brands,1,{71: []}
Brazil,1,{69: []}
Brazilian,1,{1: []}
Brazils,1,{69: []}
Britain,1,{59: []}
British,5,"{26: [], 47: [], 50: [], 72: [], 73: []}"
Bros,1,{10: []}
Brothers,1,{50: []}
Bruce,1,{50: []}
Budget,1,{89: []}
Bureau,1,{35: []}
Burger,1,{43: []}
But,5,"{2: [], 7: [], 47: [], 84: [], 89: []}"
Buyers,1,{1: []}
CABLE,1,{52: []}
CALIFORNIA,2,"{33: [], 95: []}"
CANADA,1,{9: []}
CARDENAS,1,{69: []}
CARSON,1,{46: []}
CASTONE,1,{23: []}
CB,1,{70: []}
CE,1,{86: []}
CENTER,1,{80: []}
CHAIRMAN,2,"{10: [], 83: []}"
CHINA,1,{82: []}
CHRISCRAFT,1,{40: []}
CLEARING,1,{60: []}
CO,1,{46: []}
COCOA,3,"{1: [], 10: [], 83: []}"
COFFEE,1,{10: []}
COMBUSTION,1,{86: []}
COMMERCE,1,{60: []}
COMMERCIAL,1,{97: []}
COMMONWEALTH,1,{75: []}
COMPANY,1,{37: []}
COMPLETES,2,"{2: [], 12: []}"
COMPROMISE,1,{83: []}
COMPUTER,1,{2: []}
CONCERN,1,{33: []}
CONFIDATA,1,{85: []}
CORP,6,"{17: [], 25: [], 44: [], 56: [], 57: [], 61: []}"
CORRECTED,1,{20: []}
COTTON,1,{35: []}
CPC,1,{91: []}
CROP,1,{35: []}
CSCE,1,{10: []}
CTSSHR,1,{18: []}
CURRENT,1,{45: []}
Cable,1,{7: []}
Cake,1,{1: []}
California,2,"{33: [], 95: []}"
Canada,1,{9: []}
Canadian,1,{9: []}
Capital,1,{32: []}
Cardenas,1,{69: []}
Carey,1,{10: []}
Carl,2,"{50: [], 72: []}"
Carrolton,1,{70: []}
Cars,1,{22: []}
Castone,1,{23: []}
Castone.,1,{23: []}
Census,1,{35: []}
Center,1,{80: []}
Certain,1,{83: []}
Cesar,1,{69: []}
Chancellor,1,{26: []}
Chapter,1,{100: []}
Charles,1,{10: []}
Chase,1,{47: []}
Chevron,1,{50: []}
Chimie,2,"{12: [], 29: []}"
China,1,{82: []}
Chinese,1,{24: []}
ChrisCraft,1,{40: []}
Cie,1,{29: []}
City,1,{99: []}
Clancy,1,{10: []}
Clearly,1,{51: []}
Clifford,1,{10: []}
Co,10,"{6: [], 33: [], 42: [], 43: [], 47: [], 50: [], 72: [], 77: [], 86: [], 88: []}"
Co.,1,{54: []}
Coast,1,{83: []}
Cocoa,3,"{1: [], 10: [], 83: []}"
Coffee,2,"{10: [], 69: []}"
Colombian,1,{69: []}
Colombias,1,{69: []}
Columbus,1,{93: []}
Combustion,1,{86: []}
Comissaria,1,{1: []}
Commercial,1,{98: []}
Commission,4,"{1: [], 11: [], 43: [], 94: []}"
Commissions,1,{84: []}
Committee,1,{69: []}
Commonwealth,1,{32: []}
Community,2,"{11: [], 84: []}"
Communitywide.,1,{26: []}
Compagnie,1,{12: []}
Companies,1,{27: []}
Compensatory,1,{84: []}
Computer,2,"{2: [], 92: []}"
Computerized,1,{92: []}
Confidata,1,{85: []}
Construction,2,"{20: [], 54: []}"
Consultants,1,{24: []}
Consumer,1,{83: []}
Contra,1,{33: []}
Corp,17,"{5: [], 14: [], 20: [], 23: [], 38: [], 42: [], 50: [], 54: [], 62: [], 72: [], 77: [], 79: [], 85: [], 92: [], 93: [], 94: [], 95: []}"
Corp.,2,"{65: [], 72: []}"
Corps,1,{95: []}
Correcting,1,{20: []}
Cos,1,{72: []}
Costa,1,{33: []}
Court,2,"{50: [], 72: []}"
Covertible,1,{1: []}
Currency,1,{26: []}
Current,2,"{8: [], 56: []}"
Currently,1,{20: []}
DANZAR,1,{32: []}
DATE,1,{77: []}
DEC,1,{61: []}
DECISION,1,{92: []}
DECISIONS,1,{69: []}
DENNISON,1,{42: []}
DEPARTMENT,2,"{28: [], 31: []}"
DEPOSIT,1,{3: []}
DElectro,1,{12: []}
DIRECTOR,1,{37: []}
DISCOUNT,1,{99: []}
DISCUS,1,{17: []}
DISCUSS,1,{26: []}
DISPOSAL,1,{18: []}
DIV,2,"{28: [], 60: []}"
DIVIDEND,6,"{31: [], 32: [], 34: [], 44: [], 46: [], 75: []}"
DLRS,5,"{37: [], 48: [], 96: [], 97: [], 98: []}"
DOES,2,"{37: [], 47: []}"
DOLLARS,2,"{45: [], 51: []}"
DOWNWARD,1,{94: []}
DROP,1,{24: []}
Danzar,1,{32: []}
Data,1,{92: []}
Dauster,1,{69: []}
David,2,"{47: [], 72: []}"
Dean,1,{50: []}
Dec,1,{1: []}
December,7,"{3: [], 9: [], 13: [], 39: [], 62: [], 72: [], 93: []}"
Decision,1,{92: []}
Demico,1,{10: []}
Denis,1,{83: []}
Dennison,1,{42: []}
Denshin,1,{7: []}
Denwa.,1,{7: []}
Department,2,"{31: [], 82: []}"
Despite,1,{22: []}
Destinations,1,{1: []}
Development,2,"{23: [], 92: []}"
Devices,1,{95: []}
Dexploitants,1,{84: []}
Director,1,{47: []}
Division,1,{91: []}
Dlrs,1,{3: []}
Dot,1,{2: []}
Drake,1,{10: []}
Dunn,1,{42: []}
DutchShell,1,{47: []}
EC,3,"{11: [], 24: [], 84: []}"
EDITIONS,1,{74: []}
ELECTRONICS,1,{61: []}
ELECTROSENSORS,1,{78: []}
EMS,1,{59: []}
END,2,"{23: [], 38: []}"
ENDED,2,"{13: [], 72: []}"
ENERGY,2,"{23: [], 75: []}"
ENGINEERING,2,"{63: [], 86: []}"
ENTERTAINMENT,2,"{18: [], 39: []}"
EXCHANGE,1,{10: []}
EXPECTATIONS,1,{50: []}
EXPECTS,1,{24: []}
EXPORTS,1,{9: []}
EXTRA,1,{78: []}
Earlier,5,"{50: [], 51: [], 69: [], 72: [], 83: []}"
East,1,{24: []}
Ecus,1,{11: []}
Edouard,2,"{26: [], 83: []}"
Electric,1,{88: []}
ElectroSensors,1,{78: []}
Electronics,1,{62: []}
Energy,1,{23: []}
Engineering,2,"{63: [], 86: []}"
England,2,"{49: [], 59: []}"
Englands,1,{59: []}
Entertainment,1,{39: []}
Environmental,1,{86: []}
Equipment,1,{72: []}
Erbynn,1,{83: []}
Eridania,1,{91: []}
Eugene,1,{50: []}
European,5,"{11: [], 26: [], 72: [], 84: [], 91: []}"
Europeanbased,1,{73: []}
Evans,1,{10: []}
Exchange,3,"{10: [], 43: [], 94: []}"
Exchange.,1,{43: []}
Exchequer,1,{26: []}
Extracts,1,{89: []}
Exxon,1,{50: []}
F,1,{64: []}
FAIR,1,{65: []}
FALCON,1,{52: []}
FALL,3,"{48: [], 96: [], 98: []}"
FARM,1,{84: []}
FEB,2,"{19: [], 88: []}"
FED,2,"{96: [], 97: []}"
FEDERAL,1,{58: []}
FEDERATED,2,"{28: [], 31: []}"
FEDS,3,"{27: [], 45: [], 51: []}"
FERRUZZI,1,{91: []}
FIDELITY,1,{33: []}
FIGHT,1,{84: []}
FILES,1,{43: []}
FINAL,1,{35: []}
FINANCIAL,1,{85: []}
FIRST,4,"{14: [], 36: [], 79: [], 85: []}"
FNSEA,1,{84: []}
FNSEAs,1,{84: []}
FOB.,1,{1: []}
FOR,2,"{43: [], 50: []}"
FRANCE,1,{84: []}
FREEDOM,1,{58: []}
FRENCH,3,"{12: [], 26: [], 29: []}"
FROM,2,"{22: [], 82: []}"
FSI,1,{16: []}
FUNDS,2,"{48: [], 62: []}"
FURTHER,1,{49: []}
Fair,1,{65: []}
Farm,1,{84: []}
Feb,3,"{15: [], 21: [], 92: []}"
February,5,"{1: [], 26: [], 43: [], 66: [], 69: []}"
February.,1,{69: []}
Fed,1,{99: []}
Federal,6,"{27: [], 51: [], 55: [], 58: [], 98: [], 99: []}"
Federated,1,{31: []}
Federation,1,{84: []}
Ferruzzi,1,{91: []}
Ferruzzi.,1,{91: []}
Fidelity,1,{33: []}
Field,1,{72: []}
Filter,1,{71: []}
Final,2,"{1: [], 35: []}"
Finance,1,{26: []}
Financial,4,"{7: [], 27: [], 33: [], 85: []}"
First,2,"{14: [], 85: []}"
Francaise,2,"{12: [], 29: []}"
France,3,"{11: [], 84: [], 91: []}"
Francois,1,{84: []}
Freedom,1,{58: []}
French,5,"{12: [], 26: [], 29: [], 84: [], 91: []}"
Friday,1,{83: []}
Friday.,1,{98: []}
Full,3,"{15: [], 21: [], 88: []}"
Futures,1,{10: []}
G6,1,{59: []}
GAIN,1,{58: []}
GDP,1,{89: []}
GENETIC,1,{30: []}
GINNINGS,1,{35: []}
GIVEN,1,{49: []}
GMT,1,{83: []}
GOLDFIELD,1,{25: []}
GOULD,1,{29: []}
GOULDltGLD,1,{12: []}
GREASE,1,{57: []}
GROWING,1,{7: []}
GROWTH,1,{3: []}
GRUMMAN,1,{95: []}
Ga.,1,{70: []}
Gallaher,1,{71: []}
Gas,1,{72: []}
Gaviria,1,{69: []}
Gerald,1,{10: []}
Germany,1,{51: []}
Ghana,1,{83: []}
Ginsberg,1,{62: []}
Ginsburg.,1,{62: []}
Gould,2,"{12: [], 29: []}"
Governor,2,"{27: [], 59: []}"
Group,3,"{32: [], 47: [], 59: []}"
Grumman,1,{95: []}
Guillaume,1,{84: []}
Guillaumes,1,{84: []}
Gyllenhammar,1,{22: []}
HALTS,1,{63: []}
HELLER,3,"{27: [], 45: [], 51: []}"
HELP,1,{49: []}
HIGHER,1,{71: []}
HIKE,2,"{37: [], 47: []}"
HIKES,2,"{44: [], 60: []}"
HOLDING,2,"{56: [], 57: []}"
HOLDINGS,1,{68: []}
HOME,3,"{34: [], 53: [], 79: []}"
HOUSE,1,{60: []}
He,9,"{22: [], 26: [], 27: [], 47: [], 50: [], 51: [], 59: [], 69: [], 72: []}"
Hecht,1,{62: []}
Heller,2,"{27: [], 51: []}"
Henry,1,{62: []}
Hes,1,{72: []}
Hess,1,{50: []}
Hilton,1,{77: []}
His,1,{84: []}
Holding,1,{27: []}
Holdings,1,{4: []}
Holmes,2,"{50: [], 72: []}"
Home,2,"{53: [], 79: []}"
Houston,1,{2: []}
Howard,1,{10: []}
However,1,{72: []}
Hygeia,1,{42: []}
I,7,"{7: [], 27: [], 47: [], 50: [], 59: [], 72: [], 84: []}"
IBM,1,{63: []}
ICCO,1,{83: []}
ICI,1,{48: []}
ICO,1,{69: []}
ICO.,1,{69: []}
IMPATIENT,1,{7: []}
IMPORTS,1,{24: []}
IN,8,"{9: [], 24: [], 48: [], 86: [], 93: [], 96: [], 97: [], 99: []}"
INC,14,"{8: [], 13: [], 16: [], 19: [], 28: [], 40: [], 60: [], 64: [], 66: [], 68: [], 76: [], 78: [], 81: [], 87: []}"
INDUSTRIES,3,"{40: [], 64: [], 92: []}"
INITIAL,3,"{34: [], 53: [], 77: []}"
INSURANCE,1,{68: []}
INTENT,1,{23: []}
INTL,1,{44: []}
INVESTMENT,1,{32: []}
IRON,1,{24: []}
IS,2,"{45: [], 51: []}"
ISLAND,1,{6: []}
ITALIAN,1,{89: []}
Icahn,1,{50: []}
Ichan,1,{72: []}
Ilacqua.,1,{50: []}
Imports,1,{24: []}
In,9,"{1: [], 22: [], 27: [], 42: [], 49: [], 50: [], 72: [], 79: [], 92: []}"
Inc,27,"{2: [], 4: [], 12: [], 14: [], 15: [], 23: [], 29: [], 31: [], 32: [], 33: [], 38: [], 39: [], 40: [], 42: [], 55: [], 62: [], 65: [], 70: [], 71: [], 77: [], 78: [], 80: [], 86: [], 91: [], 92: [], 93: [], 100: []}"
Inc.,3,"{4: [], 21: [], 50: []}"
Including,1,{98: []}
Industies,1,{40: []}
Industrial,1,{91: []}
Industries,1,{92: []}
Inflation,1,{59: []}
Initial,1,{95: []}
Insurance,1,{33: []}
Interest,1,{59: []}
Intermediate,1,{50: []}
International,6,"{4: [], 69: [], 77: [], 83: [], 91: [], 92: []}"
Investment,1,{32: []}
Investors,1,{43: []}
Istat,1,{89: []}
